ind,attr,val
40,5,DOTHAN
40,6,AL
40,7,36302
40,8,HOUSTON
40,9,3347938701
40,10,Acute Care Hospitals
40,11,Government - Hospital District or Authority
40,12,Yes
40,13,Surgical Infection Prevention
40,14,SCIP-INF-3
40,15,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
40,16,88%
40,17,385 patients
40,18,AL_SCIP-INF-3
51,2,10005
51,3,MARSHALL MEDICAL CENTER SOUTH
51,4,2505 U S HIGHWAY 431 NORTH
51,5,BOAZ
51,6,AL
51,7,35957
51,8,MARSHALL
51,9,2565938310
51,10,Acute Care Hospitals
51,11,Government - Hospital District or Authority
51,12,Yes
51,13,Heart Attack
51,14,AMI-8A
51,15,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
51,16,
51,17,0 patients
51,18,AL_AMI-8A
61,2,10005
61,3,MARSHALL MEDICAL CENTER SOUTH
61,4,2505 U S HIGHWAY 431 NORTH
61,5,BOAZ
61,6,AL
61,7,35957
61,8,MARSHALL
61,9,2565938310
61,10,Acute Care Hospitals
61,11,Government - Hospital District or Authority
61,12,Yes
61,13,Pneumonia
61,14,PN-7
61,15,Pneumonia Patients Assessed and Given Influenza Vaccination
61,16,81%
61,17,118 patients
61,18,AL_PN-7
69,2,10005
69,3,MARSHALL MEDICAL CENTER SOUTH
69,4,2505 U S HIGHWAY 431 NORTH
69,5,BOAZ
69,6,AL
69,7,35957
69,8,MARSHALL
69,9,2565938310
69,10,Acute Care Hospitals
69,11,Government - Hospital District or Authority
69,12,Yes
69,13,Surgical Infection Prevention
69,14,SCIP-VTE-2
69,15,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
69,16,74%
69,17,76 patients
69,18,AL_SCIP-VTE-2
107,2,10007
107,3,MIZELL MEMORIAL HOSPITAL
107,4,702 N MAIN ST
107,5,OPP
107,6,AL
107,7,36467
107,8,COVINGTON
107,9,3344933541
107,10,Acute Care Hospitals
107,11,Voluntary non-profit - Private
107,12,No
107,13,Pneumonia
107,14,PN-3B
107,15,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
107,16,78%
107,17,64 patients
107,18,AL_PN-3B
126,2,10008
126,3,CRENSHAW COMMUNITY HOSPITAL
126,4,101 HOSPITAL CIRCLE
126,5,LUVERNE
126,6,AL
126,7,36049
126,8,CRENSHAW
126,9,3343353374
126,10,Acute Care Hospitals
126,11,Government - Federal
126,12,Yes
126,13,Heart Attack
126,14,AMI-8A
126,15,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
126,16,
126,17,0 patients
126,18,AL_AMI-8A
133,2,10008
133,3,CRENSHAW COMMUNITY HOSPITAL
133,4,101 HOSPITAL CIRCLE
133,5,LUVERNE
133,6,AL
133,7,36049
133,8,CRENSHAW
133,9,3343353374
133,10,Acute Care Hospitals
133,11,Government - Federal
133,12,Yes
133,13,Pneumonia
133,14,PN-4
133,15,Pneumonia Patients Given Smoking Cessation Advice/Counseling
133,16,33%
133,17,9 patients
133,18,AL_PN-4
139,2,10008
139,3,CRENSHAW COMMUNITY HOSPITAL
139,4,101 HOSPITAL CIRCLE
139,5,LUVERNE
139,6,AL
139,7,36049
139,8,CRENSHAW
139,9,3343353374
139,10,Acute Care Hospitals
139,11,Government - Federal
139,12,Yes
139,13,Surgical Infection Prevention
139,14,SCIP-INF-2
139,15,surgery patients who were given the  right kind  of antibiotic to help prevent infection
139,16,100%
139,17,2 patients
139,18,AL_SCIP-INF-2
147,2,10009
147,3,HARTSELLE MEDICAL CENTER
147,4,201 PINE STREET NORTHWEST
147,5,HARTSELLE
147,6,AL
147,7,35640
147,8,MORGAN
147,9,2567736511
147,10,Acute Care Hospitals
147,11,Proprietary
147,12,Yes
147,13,Heart Attack
147,14,AMI-3
147,15,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
147,16,100%
147,17,1 patients
147,18,AL_AMI-3
150,2,10009
150,3,HARTSELLE MEDICAL CENTER
150,4,201 PINE STREET NORTHWEST
150,5,HARTSELLE
150,6,AL
150,7,35640
150,8,MORGAN
150,9,2567736511
150,10,Acute Care Hospitals
150,11,Proprietary
150,12,Yes
150,13,Heart Attack
150,14,AMI-7A
150,15,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
150,16,
150,17,0 patients
150,18,AL_AMI-7A
151,2,10009
151,3,HARTSELLE MEDICAL CENTER
151,4,201 PINE STREET NORTHWEST
151,5,HARTSELLE
151,6,AL
151,7,35640
151,8,MORGAN
151,9,2567736511
151,10,Acute Care Hospitals
151,11,Proprietary
151,12,Yes
151,13,Heart Attack
151,14,AMI-8A
151,15,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
151,16,
151,17,0 patients
151,18,AL_AMI-8A
172,2,10010
172,3,MARSHALL MEDICAL CENTER NORTH
172,4,8000 ALABAMA HIGHWAY 69
172,5,GUNTERSVILLE
172,6,AL
172,7,35976
172,8,MARSHALL
172,9,2565718000
172,10,Acute Care Hospitals
172,11,Government - Hospital District or Authority
172,12,Yes
172,13,Heart Attack
172,14,AMI-3
172,15,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
172,16,50%
172,17,2 patients
172,18,AL_AMI-3
176,2,10010
176,3,MARSHALL MEDICAL CENTER NORTH
176,4,8000 ALABAMA HIGHWAY 69
176,5,GUNTERSVILLE
176,6,AL
176,7,35976
176,8,MARSHALL
176,9,2565718000
176,10,Acute Care Hospitals
176,11,Government - Hospital District or Authority
176,12,Yes
176,13,Heart Attack
176,14,AMI-8A
176,15,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
176,16,
176,17,0 patients
176,18,AL_AMI-8A
182,2,10010
182,3,MARSHALL MEDICAL CENTER NORTH
182,4,8000 ALABAMA HIGHWAY 69
182,5,GUNTERSVILLE
182,6,AL
182,7,35976
182,8,MARSHALL
182,9,2565718000
182,10,Acute Care Hospitals
182,11,Government - Hospital District or Authority
182,12,Yes
182,13,Pneumonia
182,14,PN-3B
182,15,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
182,16,94%
182,17,115 patients
182,18,AL_PN-3B
185,2,10010
185,3,MARSHALL MEDICAL CENTER NORTH
185,4,8000 ALABAMA HIGHWAY 69
185,5,GUNTERSVILLE
185,6,AL
185,7,35976
185,8,MARSHALL
185,9,2565718000
185,10,Acute Care Hospitals
185,11,Government - Hospital District or Authority
185,12,Yes
185,13,Pneumonia
185,14,PN-6
185,15,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
185,16,93%
185,17,133 patients
185,18,AL_PN-6
202,2,10011
202,3,ST VINCENT-S EAST
202,4,50 MEDICAL PARK EAST DRIVE
202,5,BIRMINGHAM
202,6,AL
202,7,35235
202,8,JEFFERSON
202,9,2058383122
202,10,Acute Care Hospitals
202,11,Voluntary non-profit - Private
202,12,Yes
202,13,Heart Failure
202,14,HF-1
202,15,Heart Failure Patients Given Discharge Instructions
202,16,94%
202,17,316 patients
202,18,AL_HF-1
210,2,10011
210,3,ST VINCENT-S EAST
210,4,50 MEDICAL PARK EAST DRIVE
210,5,BIRMINGHAM
210,6,AL
210,7,35235
210,8,JEFFERSON
210,9,2058383122
210,10,Acute Care Hospitals
210,11,Voluntary non-profit - Private
210,12,Yes
210,13,Pneumonia
210,14,PN-6
210,15,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
210,16,91%
210,17,112 patients
210,18,AL_PN-6
211,2,10011
211,3,ST VINCENT-S EAST
211,4,50 MEDICAL PARK EAST DRIVE
211,5,BIRMINGHAM
211,6,AL
211,7,35235
211,8,JEFFERSON
211,9,2058383122
211,10,Acute Care Hospitals
211,11,Voluntary non-profit - Private
211,12,Yes
211,13,Pneumonia
211,14,PN-7
211,15,Pneumonia Patients Assessed and Given Influenza Vaccination
211,16,85%
211,17,89 patients
211,18,AL_PN-7
218,2,10011
218,3,ST VINCENT-S EAST
218,4,50 MEDICAL PARK EAST DRIVE
218,5,BIRMINGHAM
218,6,AL
218,7,35235
218,8,JEFFERSON
218,9,2058383122
218,10,Acute Care Hospitals
218,11,Voluntary non-profit - Private
218,12,Yes
218,13,Surgical Infection Prevention
218,14,SCIP-VTE-1
218,15,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
218,16,89%
218,17,229 patients
218,18,AL_SCIP-VTE-1
233,2,10012
233,3,DEKALB REGIONAL MEDICAL CENTER
233,4,200 MED CENTER DRIVE
233,5,FORT PAYNE
233,6,AL
233,7,35968
233,8,DE KALB
233,9,2568453150
233,10,Acute Care Hospitals
233,11,Voluntary non-profit - Church
233,12,Yes
233,13,Pneumonia
233,14,PN-4
233,15,Pneumonia Patients Given Smoking Cessation Advice/Counseling
233,16,100%
233,17,37 patients
233,18,AL_PN-4
257,2,10015
257,3,SOUTHWEST ALABAMA MEDICAL CENTER
257,4,33700 HIGHWAY 43
257,5,THOMASVILLE
257,6,AL
257,7,36784
257,8,CLARKE
257,9,3346366221
257,10,Acute Care Hospitals
257,11,Government - Federal
257,12,Yes
257,13,Pneumonia
257,14,PN-3B
257,15,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
257,16,96%
257,17,24 patients
257,18,AL_PN-3B
258,2,10015
258,3,SOUTHWEST ALABAMA MEDICAL CENTER
258,4,33700 HIGHWAY 43
258,5,THOMASVILLE
258,6,AL
258,7,36784
258,8,CLARKE
258,9,3346366221
258,10,Acute Care Hospitals
258,11,Government - Federal
258,12,Yes
258,13,Pneumonia
258,14,PN-4
258,15,Pneumonia Patients Given Smoking Cessation Advice/Counseling
258,16,100%
258,17,6 patients
258,18,AL_PN-4
271,2,10016
271,3,SHELBY BAPTIST MEDICAL CENTER
271,4,1000 FIRST STREET NORTH
271,5,ALABASTER
271,6,AL
271,7,35007
271,8,SHELBY
271,9,2056208100
271,10,Acute Care Hospitals
271,11,Voluntary non-profit - Church
271,12,Yes
271,13,Heart Attack
271,14,AMI-2
271,15,Heart Attack Patients Given Aspirin at Discharge
271,16,97%
271,17,208 patients
271,18,AL_AMI-2
288,2,10016
288,3,SHELBY BAPTIST MEDICAL CENTER
288,4,1000 FIRST STREET NORTH
288,5,ALABASTER
288,6,AL
288,7,35007
288,8,SHELBY
288,9,2056208100
288,10,Acute Care Hospitals
288,11,Voluntary non-profit - Church
288,12,Yes
288,13,Surgical Infection Prevention
288,14,SCIP-INF-1
288,15,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
288,16,98%
288,17,368 patients
288,18,AL_SCIP-INF-1
290,2,10016
290,3,SHELBY BAPTIST MEDICAL CENTER
290,4,1000 FIRST STREET NORTH
290,5,ALABASTER
290,6,AL
290,7,35007
290,8,SHELBY
290,9,2056208100
290,10,Acute Care Hospitals
290,11,Voluntary non-profit - Church
290,12,Yes
290,13,Surgical Infection Prevention
290,14,SCIP-INF-3
290,15,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
290,16,91%
290,17,331 patients
290,18,AL_SCIP-INF-3
303,2,10018
303,3,CALLAHAN EYE FOUNDATION HOSPITAL
303,4,1720 UNIVERSITY BLVD
303,5,BIRMINGHAM
303,6,AL
303,7,35233
303,8,JEFFERSON
303,9,2053258100
303,10,Acute Care Hospitals
303,11,Voluntary non-profit - Private
303,12,Yes
303,13,Heart Failure
303,14,HF-2
303,15,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
303,16,
303,17,
303,18,AL_HF-2
317,2,10038
317,3,STRINGFELLOW MEMORIAL HOSPITAL
317,4,301 EAST 18TH ST
317,5,ANNISTON
317,6,AL
317,7,36201
317,8,CALHOUN
317,9,2562358900
317,10,Acute Care Hospitals
317,11,Proprietary
317,12,Yes
317,13,Heart Attack
317,14,AMI-4
317,15,Heart Attack Patients Given Smoking Cessation Advice/Counseling
317,16,100%
317,17,29 patients
317,18,AL_AMI-4
327,2,10038
327,3,STRINGFELLOW MEMORIAL HOSPITAL
327,4,301 EAST 18TH ST
327,5,ANNISTON
327,6,AL
327,7,36201
327,8,CALHOUN
327,9,2562358900
327,10,Acute Care Hospitals
327,11,Proprietary
327,12,Yes
327,13,Pneumonia
327,14,PN-4
327,15,Pneumonia Patients Given Smoking Cessation Advice/Counseling
327,16,100%
327,17,83 patients
327,18,AL_PN-4
367,2,10086
367,3,NORTHWEST MEDICAL CENTER
367,4,1530 U S HIGHWAY 43
367,5,WINFIELD
367,6,AL
367,7,35594
367,8,MARION
367,9,2054877736
367,10,Acute Care Hospitals
367,11,Proprietary
367,12,Yes
367,13,Pneumonia
367,14,PN-3B
367,15,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
367,16,98%
367,17,59 patients
367,18,AL_PN-3B
398,2,10108
398,3,PRATTVILLE BAPTIST HOSPITAL
398,4,124 S MEMORIAL DR
398,5,PRATTVILLE
398,6,AL
398,7,36067
398,8,AUTAUGA
398,9,3343614267
398,10,Acute Care Hospitals
398,11,Voluntary non-profit - Private
398,12,Yes
398,13,Heart Attack
398,14,AMI-8A
398,15,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
398,16,
398,17,0 patients
398,18,AL_AMI-8A
399,2,10108
399,3,PRATTVILLE BAPTIST HOSPITAL
399,4,124 S MEMORIAL DR
399,5,PRATTVILLE
399,6,AL
399,7,36067
399,8,AUTAUGA
399,9,3343614267
399,10,Acute Care Hospitals
399,11,Voluntary non-profit - Private
399,12,Yes
399,13,Heart Failure
399,14,HF-1
399,15,Heart Failure Patients Given Discharge Instructions
399,16,96%
399,17,75 patients
399,18,AL_HF-1
400,2,10108
400,3,PRATTVILLE BAPTIST HOSPITAL
400,4,124 S MEMORIAL DR
400,5,PRATTVILLE
400,6,AL
400,7,36067
400,8,AUTAUGA
400,9,3343614267
400,10,Acute Care Hospitals
400,11,Voluntary non-profit - Private
400,12,Yes
400,13,Heart Failure
400,14,HF-2
400,15,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
400,16,94%
400,17,93 patients
400,18,AL_HF-2
417,2,10164
417,3,COOSA VALLEY MEDICAL CENTER
417,4,315 W HICKORY ST
417,5,SYLACAUGA
417,6,AL
417,7,35150
417,8,TALLADEGA
417,9,2562495000
417,10,Acute Care Hospitals
417,11,Voluntary non-profit - Other
417,12,No
417,13,Heart Attack
417,14,AMI-3
417,15,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
417,16,100%
417,17,1 patients
417,18,AL_AMI-3
419,2,10164
419,3,COOSA VALLEY MEDICAL CENTER
419,4,315 W HICKORY ST
419,5,SYLACAUGA
419,6,AL
419,7,35150
419,8,TALLADEGA
419,9,2562495000
419,10,Acute Care Hospitals
419,11,Voluntary non-profit - Other
419,12,No
419,13,Heart Attack
419,14,AMI-5
419,15,Heart Attack Patients Given Beta Blocker at Discharge
419,16,100%
419,17,4 patients
419,18,AL_AMI-5
430,2,10164
430,3,COOSA VALLEY MEDICAL CENTER
430,4,315 W HICKORY ST
430,5,SYLACAUGA
430,6,AL
430,7,35150
430,8,TALLADEGA
430,9,2562495000
430,10,Acute Care Hospitals
430,11,Voluntary non-profit - Other
430,12,No
430,13,Pneumonia
430,14,PN-6
430,15,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
430,16,96%
430,17,57 patients
430,18,AL_PN-6
436,2,20017
436,3,ALASKA REGIONAL HOSPITAL
436,4,2801 DEBARR ROAD
436,5,ANCHORAGE
436,6,AK
436,7,99508
436,8,ANCHORAGE
436,9,9072761131
436,10,Acute Care Hospitals
436,11,Proprietary
436,12,Yes
436,13,Heart Failure
436,14,HF-4
436,15,Heart Failure Patients Given Smoking Cessation Advice/Counseling
436,16,100%
436,17,13 patients
436,18,AK_HF-4
456,2,10019
456,3,HELEN KELLER MEMORIAL HOSPITAL
456,4,1300 SOUTH MONTGOMERY AVENUE
456,5,SHEFFIELD
456,6,AL
456,7,35660
456,8,JEFFERSON
456,9,2563864556
456,10,Acute Care Hospitals
456,11,Government - Hospital District or Authority
456,12,Yes
456,13,Pneumonia
456,14,PN-5C
456,15,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
456,16,98%
456,17,192 patients
456,18,AL_PN-5C
489,2,10021
489,3,DALE MEDICAL CENTER
489,4,126 HOSPITAL AVE
489,5,OZARK
489,6,AL
489,7,36360
489,8,DALE
489,9,3347742601
489,10,Acute Care Hospitals
489,11,Government - Hospital District or Authority
489,12,Yes
489,13,Surgical Infection Prevention
489,14,SCIP-INF-6
489,15,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream sC not a razor)
489,16,100%
489,17,94 patients
489,18,AL_SCIP-INF-6
492,2,10022
492,3,CHEROKEE MEDICAL CENTER
492,4,400 NORTHWOOD DR
492,5,CENTRE
492,6,AL
492,7,35960
492,8,CHEROKEE
492,9,2569275531
492,10,Acute Care Hospitals
492,11,Voluntary non-profit - Private
492,12,Yes
492,13,Heart Attack
492,14,AMI-1
492,15,Heart Attack Patients Given Aspirin at Arrival
492,16,
492,17,0 patients
492,18,AL_AMI-1
502,2,10022
502,3,CHEROKEE MEDICAL CENTER
502,4,400 NORTHWOOD DR
502,5,CENTRE
502,6,AL
502,7,35960
502,8,CHEROKEE
502,9,2569275531
502,10,Acute Care Hospitals
502,11,Voluntary non-profit - Private
502,12,Yes
502,13,Heart Failure
502,14,HF-4
502,15,Heart Failure Patients Given Smoking Cessation Advice/Counseling
502,16,100%
502,17,15 patients
502,18,AL_HF-4
516,2,10022
516,3,CHEROKEE MEDICAL CENTER
516,4,400 NORTHWOOD DR
516,5,CENTRE
516,6,AL
516,7,35960
516,8,CHEROKEE
516,9,2569275531
516,10,Acute Care Hospitals
516,11,Voluntary non-profit - Private
516,12,Yes
516,13,Surgical Infection Prevention
516,14,SCIP-VTE-2
516,15,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
516,16,100%
516,17,5 patients
516,18,AL_SCIP-VTE-2
530,2,10023
530,3,BAPTIST MEDICAL CENTER SOUTH
530,4,2105 EAST SOUTH BOULEVARD
530,5,MONTGOMERY
530,6,AL
530,7,36116
530,8,MONTGOMERY
530,9,3342882100
530,10,Acute Care Hospitals
530,11,Voluntary non-profit - Church
530,12,Yes
530,13,Pneumonia
530,14,PN-4
530,15,Pneumonia Patients Given Smoking Cessation Advice/Counseling
530,16,94%
530,17,80 patients
530,18,AL_PN-4
583,2,10025
583,3,G H LANIER MEMORIAL HOSPITAL
583,4,4800 48TH ST
583,5,VALLEY
583,6,AL
583,7,36854
583,8,CHAMBERS
583,9,3347561400
583,10,Acute Care Hospitals
583,11,Voluntary non-profit - Other
583,12,Yes
583,13,Pneumonia
583,14,PN-7
583,15,Pneumonia Patients Assessed and Given Influenza Vaccination
583,16,75%
583,17,60 patients
583,18,AL_PN-7
638,2,10029
638,3,EAST ALABAMA MEDICAL CENTER AND SNF
638,4,2000 PEPPERELL PARKWAY
638,5,OPELIKA
638,6,AL
638,7,36801
638,8,LEE
638,9,3347493411
638,10,Acute Care Hospitals
638,11,Government - Hospital District or Authority
638,12,Yes
638,13,Surgical Infection Prevention
638,14,SCIP-INF-4
638,15,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
638,16,98%
638,17,241 patients
638,18,AL_SCIP-INF-4
646,2,10032
646,3,WEDOWEE HOSPITAL
646,4,209 NORTH MAIN STREET
646,5,WEDOWEE
646,6,AL
646,7,36278
646,8,RANDOLPH
646,9,2563572111
646,10,Acute Care Hospitals
646,11,Government - Local
646,12,No
646,13,Heart Attack
646,14,AMI-5
646,15,Heart Attack Patients Given Beta Blocker at Discharge
646,16,67%
646,17,3 patients
646,18,AL_AMI-5
648,2,10032
648,3,WEDOWEE HOSPITAL
648,4,209 NORTH MAIN STREET
648,5,WEDOWEE
648,6,AL
648,7,36278
648,8,RANDOLPH
648,9,2563572111
648,10,Acute Care Hospitals
648,11,Government - Local
648,12,No
648,13,Heart Attack
648,14,AMI-8A
648,15,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
648,16,
648,17,0 patients
648,18,AL_AMI-8A
661,2,10032
661,3,WEDOWEE HOSPITAL
661,4,209 NORTH MAIN STREET
661,5,WEDOWEE
661,6,AL
661,7,36278
661,8,RANDOLPH
661,9,2563572111
661,10,Acute Care Hospitals
661,11,Government - Local
661,12,No
661,13,Surgical Infection Prevention
661,14,SCIP-INF-2
661,15,surgery patients who were given the  right kind  of antibiotic to help prevent infection
661,16,
661,17,
661,18,AL_SCIP-INF-2
662,2,10032
662,3,WEDOWEE HOSPITAL
662,4,209 NORTH MAIN STREET
662,5,WEDOWEE
662,6,AL
662,7,36278
662,8,RANDOLPH
662,9,2563572111
662,10,Acute Care Hospitals
662,11,Government - Local
662,12,No
662,13,Surgical Infection Prevention
662,14,SCIP-INF-3
662,15,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
662,16,
662,17,
662,18,AL_SCIP-INF-3
664,2,10032
664,3,WEDOWEE HOSPITAL
664,4,209 NORTH MAIN STREET
664,5,WEDOWEE
664,6,AL
664,7,36278
664,8,RANDOLPH
664,9,2563572111
664,10,Acute Care Hospitals
664,11,Government - Local
664,12,No
664,13,Surgical Infection Prevention
664,14,SCIP-INF-6
664,15,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream sC not a razor)
664,16,
664,17,
664,18,AL_SCIP-INF-6
668,2,10033
668,3,UNIVERSITY OF ALABAMA HOSPITAL
668,4,619 SOUTH 19TH STREET
668,5,BIRMINGHAM
668,6,AL
668,7,35233
668,8,JEFFERSON
668,9,2059344011
668,10,Acute Care Hospitals
668,11,Government - State
668,12,Yes
668,13,Heart Attack
668,14,AMI-2
668,15,Heart Attack Patients Given Aspirin at Discharge
668,16,98%
668,17,316 patients
668,18,AL_AMI-2
686,2,10033
686,3,UNIVERSITY OF ALABAMA HOSPITAL
686,4,619 SOUTH 19TH STREET
686,5,BIRMINGHAM
686,6,AL
686,7,35233
686,8,JEFFERSON
686,9,2059344011
686,10,Acute Care Hospitals
686,11,Government - State
686,12,Yes
686,13,Surgical Infection Prevention
686,14,SCIP-INF-2
686,15,surgery patients who were given the  right kind  of antibiotic to help prevent infection
686,16,95%
686,17,350 patients
686,18,AL_SCIP-INF-2
690,2,10033
690,3,UNIVERSITY OF ALABAMA HOSPITAL
690,4,619 SOUTH 19TH STREET
690,5,BIRMINGHAM
690,6,AL
690,7,35233
690,8,JEFFERSON
690,9,2059344011
690,10,Acute Care Hospitals
690,11,Government - State
690,12,Yes
690,13,Surgical Infection Prevention
690,14,SCIP-VTE-1
690,15,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
690,16,79%
690,17,230 patients
690,18,AL_SCIP-VTE-1
691,2,10033
691,3,UNIVERSITY OF ALABAMA HOSPITAL
691,4,619 SOUTH 19TH STREET
691,5,BIRMINGHAM
691,6,AL
691,7,35233
691,8,JEFFERSON
691,9,2059344011
691,10,Acute Care Hospitals
691,11,Government - State
691,12,Yes
691,13,Surgical Infection Prevention
691,14,SCIP-VTE-2
691,15,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
691,16,77%
691,17,224 patients
691,18,AL_SCIP-VTE-2
735,2,10035
735,3,CULLMAN REGIONAL MEDICAL CENTER
735,4,1912 ALABAMA HIGHWAY 157
735,5,CULLMAN
735,6,AL
735,7,35058
735,8,CULLMAN
735,9,2567372000
735,10,Acute Care Hospitals
735,11,Government - Hospital District or Authority
735,12,Yes
735,13,Surgical Infection Prevention
735,14,SCIP-INF-1
735,15,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
735,16,99%
735,17,411 patients
735,18,AL_SCIP-INF-1
741,2,10035
741,3,CULLMAN REGIONAL MEDICAL CENTER
741,4,1912 ALABAMA HIGHWAY 157
741,5,CULLMAN
741,6,AL
741,7,35058
741,8,CULLMAN
741,9,2567372000
741,10,Acute Care Hospitals
741,11,Government - Hospital District or Authority
741,12,Yes
741,13,Surgical Infection Prevention
741,14,SCIP-VTE-2
741,15,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
741,16,95%
741,17,298 patients
741,18,AL_SCIP-VTE-2
750,2,10036
750,3,ANDALUSIA REGIONAL HOSPITAL
750,4,849 SOUTH THREE NOTCH STREET
750,5,ANDALUSIA
750,6,AL
750,7,36420
750,8,COVINGTON
750,9,3342228466
750,10,Acute Care Hospitals
750,11,Proprietary
750,12,No
750,13,Heart Failure
750,14,HF-2
750,15,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
750,16,91%
750,17,139 patients
750,18,AL_HF-2
771,2,10038
771,3,STRINGFELLOW MEMORIAL HOSPITAL
771,4,301 EAST 18TH ST
771,5,ANNISTON
771,6,AL
771,7,36201
771,8,CALHOUN
771,9,2562358900
771,10,Acute Care Hospitals
771,11,Proprietary
771,12,Yes
771,13,Surgical Infection Prevention
